Funzione,Italia (% PIL),UE27 (% PIL),Fonte,Note
Protezione sociale,21.1,19.2,Eurostat (gov_10a_exp 2023),"Incl. pensioni, assistenza"
Servizi generali PA,7.4,5.9,Eurostat (gov_10a_exp 2023),"Incl. interessi debito"
Affari economici,5.8,5.8,Eurostat (gov_10a_exp 2023),"Incl. trasporti, energia"
Sanità,6.5,7.3,Eurostat (gov_10a_exp 2023),"Sotto la media UE"
Difesa,1.2,1.3,Eurostat (gov_10a_exp 2023),"
Ordine pubblico e sicurezza,1.7,1.7,Eurostat (gov_10a_exp 2023),"
Istruzione,3.9,4.7,Eurostat (gov_10a_exp 2023),"Sotto la media UE"
Abitazioni e servizi collettivi,4.3,1.2,Eurostat (gov_10a_exp 2023),"Superbonus, bonus edilizi"
Ricreazione cultura religione,0.8,1.2,Eurostat (gov_10a_exp 2023),"
Protezione ambiente,0.9,0.8,Eurostat (gov_10a_exp 2023),"
Totale spesa pubblica,53.7,49.6,Eurostat (gov_10a_exp 2023),"Italia +4,1pp sopra UE"
